season_year,team_id,team,conference,win_pct,conf_opp_win_pct,overall_opp_win_pct,opp_win_pct
2018,marshall,Marshall,Conference USA,0.3103,0.521,0.4998,0.5147
2018,california-davis,UC Davis,Big West Conference,0.8,0.4216,0.4998,0.4451
2018,cal-poly,Cal Poly,Big West Conference,0.5862,0.4483,0.4998,0.4638
2018,california-irvine,UC Irvine,Big West Conference,0.5625,0.4513,0.4998,0.4658
2018,california-santa-barbara,UC Santa Barbara,Big West Conference,0.4138,0.4699,0.4998,0.4788
2018,cal-state-northridge,Cal State Northridge,Big West Conference,0.5429,0.4537,0.4998,0.4676
2018,california-riverside,UC Riverside,Big West Conference,0.3333,0.4799,0.4998,0.4859
2018,long-beach-state,Long Beach State,Big West Conference,0.2581,0.4893,0.4998,0.4925
2018,hawaii,Hawaii,Big West Conference,0.4,0.4716,0.4998,0.4801
2018,cal-state-fullerton,Cal State Fullerton,Big West Conference,0.2759,0.4871,0.4998,0.4909
2018,florida-gulf-coast,Florida Gulf Coast,Atlantic Sun Conference,0.8611,0.4049,0.4998,0.4334
2018,jacksonville,Jacksonville,Atlantic Sun Conference,0.7273,0.424,0.4998,0.4468
2018,stetson,Stetson,Atlantic Sun Conference,0.5312,0.452,0.4998,0.4664
2018,lipscomb,Lipscomb,Atlantic Sun Conference,0.3871,0.4726,0.4998,0.4808
2018,south-carolina-upstate,South Carolina Upstate,Atlantic Sun Conference,0.3667,0.4755,0.4998,0.4828
2018,north-florida,North Florida,Atlantic Sun Conference,0.4194,0.468,0.4998,0.4775
2018,kennesaw-state,Kennesaw State,Atlantic Sun Conference,0.2692,0.4894,0.4998,0.4926
2018,njit,NJIT,Atlantic Sun Conference,0.1333,0.5089,0.4998,0.5061
2018,central-michigan,Central Michigan,Mid-American Conference,0.8571,0.5274,0.4998,0.5191
2018,buffalo,Buffalo,Mid-American Conference,0.8286,0.5299,0.4998,0.5209
2018,ball-state,Ball State,Mid-American Conference,0.7812,0.5343,0.4998,0.5239
2018,miami-oh,Miami (OH),Mid-American Conference,0.6562,0.5456,0.4998,0.5319
2018,western-michigan,Western Michigan,Mid-American Conference,0.5455,0.5557,0.4998,0.5389
2018,ohio,Ohio,Mid-American Conference,0.5161,0.5584,0.4998,0.5408
2018,toledo,Toledo,Mid-American Conference,0.5455,0.5557,0.4998,0.5389
2018,northern-illinois,Northern Illinois,Mid-American Conference,0.5,0.5598,0.4998,0.5418
2018,eastern-michigan,Eastern Michigan,Mid-American Conference,0.3548,0.573,0.4998,0.5511
2018,kent-state,Kent State,Mid-American Conference,0.4062,0.5683,0.4998,0.5478
2018,bowling-green-state,Bowling Green,Mid-American Conference,0.3667,0.5719,0.4998,0.5503
2018,akron,Akron,Mid-American Conference,0.3,0.578,0.4998,0.5546
2018,liberty,Liberty,Big South Conference,0.7059,0.4414,0.4998,0.4589
2018,radford,Radford,Big South Conference,0.7273,0.439,0.4998,0.4573
2018,north-carolina-asheville,UNC Asheville,Big South Conference,0.5152,0.4626,0.4998,0.4738
2018,high-point,High Point,Big South Conference,0.5484,0.4589,0.4998,0.4712
2018,presbyterian,Presbyterian,Big South Conference,0.4,0.4754,0.4998,0.4827
2018,gardner-webb,Gardner-Webb,Big South Conference,0.5938,0.4539,0.4998,0.4677
